bedrooms;bathrooms;stories;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;prefarea;furnishingstatus;area;price
4;2;3;1;0;0;0;1;2;1;2;7420;13300000
4;4;4;1;0;0;0;1;3;0;2;8960;12250000
3;2;2;1;0;1;0;0;2;1;1;9960;12250000
4;2;2;1;0;1;0;1;3;1;2;7500;12215000
4;1;2;1;1;1;0;1;2;0;2;7420;11410000
3;3;1;1;0;1;0;1;2;1;1;7500;10850000
4;3;4;1;0;0;0;1;2;1;1;8580;10150000
5;3;2;1;0;0;0;0;0;0;0;16200;10150000
4;1;2;1;1;1;0;1;2;1;2;8100;9870000
3;2;4;1;1;0;0;1;1;1;0;5750;9800000
3;1;2;1;0;1;0;1;2;1;2;13200;9800000
4;3;2;1;1;1;1;0;2;0;1;6000;9681000
4;2;2;1;0;0;0;1;1;1;1;6550;9310000
4;2;2;1;0;0;1;0;2;0;2;3500;9240000
3;2;2;1;0;0;0;0;0;1;1;7800;9240000
4;1;2;1;0;1;0;0;2;0;1;6000;9100000
4;2;2;1;1;1;0;1;1;1;0;6600;9100000
3;2;4;1;0;0;0;1;2;0;2;8500;8960000
3;2;2;1;1;0;0;1;2;0;2;4600;8890000
3;2;2;1;0;0;0;1;1;1;1;6420;8855000
3;1;2;1;0;1;1;0;2;0;1;4320;8750000
3;2;1;1;1;1;0;1;2;0;0;7155;8680000
3;1;1;1;1;1;0;1;1;0;2;8050;8645000
3;2;2;1;1;1;0;1;1;0;2;4560;8645000
3;2;2;1;0;0;0;1;2;0;2;8800;8575000
4;2;2;1;1;1;0;1;2;1;2;6540;8540000
3;2;4;1;1;1;0;1;0;1;1;6000;8463000
3;1;1;1;0;0;0;0;1;0;1;8875;8400000
5;2;2;1;0;1;1;0;2;0;0;7950;8400000
4;2;2;1;0;1;0;1;1;1;1;5500;8400000
3;2;4;1;0;0;0;1;2;0;0;7475;8400000
3;1;4;1;0;0;0;1;2;0;1;7000;8400000
4;2;2;1;0;0;0;1;1;1;2;4880;8295000
3;3;2;1;1;1;0;0;1;0;0;5960;8190000
5;1;2;1;1;1;0;1;1;0;2;6840;8120000
3;2;4;1;0;0;0;1;2;0;2;7000;8080940
3;2;3;1;0;0;1;0;1;1;2;7482;8043000
4;2;4;1;0;0;0;1;2;0;2;9000;7980000
3;1;4;1;1;0;0;1;2;0;0;6000;7962500
4;2;4;1;0;0;0;1;1;0;1;6000;7910000
3;1;2;1;0;1;0;1;0;1;2;6550;7875000
3;2;4;1;0;0;0;1;0;1;2;6360;7840000
3;2;4;1;0;0;0;1;2;0;0;6480;7700000
4;2;4;1;0;0;0;0;2;0;1;6000;7700000
4;2;4;1;0;0;0;1;1;0;2;6000;7560000
3;2;3;1;0;0;0;1;0;0;1;6000;7560000
3;2;4;1;0;0;0;1;1;0;2;6000;7525000
3;1;4;1;0;0;0;1;3;1;2;6600;7490000
3;2;2;1;0;1;0;0;1;0;0;4300;7455000
3;2;1;1;1;1;0;1;0;1;1;7440;7420000
3;2;4;1;0;0;0;0;1;1;0;7440;7420000
3;1;4;1;0;0;0;1;1;0;0;6325;7420000
4;2;4;1;1;0;0;1;1;0;2;6000;7350000
3;2;4;1;0;0;0;1;2;0;1;5150;7350000
3;2;2;1;1;0;0;1;1;0;1;6000;7350000
3;1;2;1;0;0;0;1;1;0;0;6000;7350000
4;1;2;1;0;1;0;0;1;1;1;11440;7343000
4;2;4;1;1;0;0;1;1;1;2;9000;7245000
4;2;4;1;1;0;0;1;1;0;1;7680;7210000
3;2;4;1;1;0;0;1;1;0;2;6000;7210000
3;2;2;1;1;0;0;0;1;0;1;6000;7140000
2;1;1;1;0;0;0;1;1;0;1;8880;7070000
4;2;2;1;0;0;0;1;1;0;2;6240;7070000
4;2;3;1;0;0;0;1;2;1;2;6360;7035000
3;1;1;1;0;1;0;1;1;1;2;11175;7000000
3;2;2;1;0;1;0;1;1;0;2;8880;6930000
2;1;1;1;0;1;1;0;1;0;2;13200;6930000
3;2;1;1;0;0;0;0;2;0;0;7700;6895000
3;1;1;1;0;0;0;1;1;0;2;6000;6860000
4;2;2;1;0;0;0;0;2;1;2;12090;6790000
3;2;2;1;0;1;0;1;0;1;1;4000;6790000
4;2;4;1;0;0;0;1;0;0;0;6000;6755000
3;1;4;1;0;0;0;1;0;1;0;5020;6720000
2;2;4;1;0;1;0;0;0;1;2;6600;6685000
3;1;2;1;0;1;1;0;1;0;2;4040;6650000
4;2;2;1;0;0;1;0;0;0;1;4260;6650000
3;2;3;1;0;0;0;1;0;1;2;6420;6650000
3;2;3;1;0;0;0;1;0;1;2;6500;6650000
3;1;1;1;1;1;0;1;2;1;2;5700;6650000
3;2;3;1;1;0;0;1;0;0;2;6000;6650000
3;1;2;1;0;0;1;0;1;1;1;6000;6629000
3;2;2;1;0;1;0;1;1;0;1;4000;6615000
3;2;1;1;0;1;0;1;1;1;2;10500;6615000
3;2;4;1;0;0;0;1;0;0;1;6000;6580000
3;1;2;1;0;0;1;0;2;0;1;3760;6510000
3;2;3;1;0;0;0;1;0;0;2;8250;6510000
3;1;3;1;0;1;0;0;0;1;0;6670;6510000
3;1;1;1;0;1;0;0;2;0;1;3960;6475000
3;1;1;1;1;1;0;1;2;1;0;7410;6475000
5;3;2;1;0;0;0;0;2;0;2;8580;6440000
3;1;2;1;0;0;0;1;0;0;1;5000;6440000
2;1;1;1;1;1;0;0;2;1;2;6750;6419000
3;2;4;1;1;0;0;1;0;0;2;4800;6405000
3;2;1;1;0;1;0;1;3;0;1;7200;6300000
4;2;4;1;0;0;0;0;1;0;1;6000;6300000
3;2;3;1;0;0;0;1;2;0;1;4100;6300000
3;1;1;1;0;1;0;0;1;1;2;9000;6300000
3;1;1;1;1;1;0;1;1;1;1;6400;6300000
3;2;3;1;0;0;0;1;0;1;0;6600;6293000
4;1;3;1;1;1;0;0;0;1;0;6000;6265000
3;2;1;1;0;1;0;1;0;1;0;6600;6230000
3;1;3;1;0;0;0;0;1;1;0;5500;6230000
3;2;4;1;1;0;0;1;1;0;1;5500;6195000
3;2;3;1;1;0;0;1;0;0;2;6350;6195000
3;2;1;1;1;1;0;0;2;1;2;5500;6195000
3;1;4;1;0;0;0;1;0;0;0;4500;6160000
4;2;1;1;0;1;0;1;0;1;1;5450;6160000
3;1;3;1;0;1;0;0;0;1;0;6420;6125000
4;1;3;1;0;0;0;0;1;0;1;3240;6107500
4;2;2;1;1;0;1;0;1;0;1;6615;6090000
3;1;1;1;1;1;0;0;2;1;1;6600;6090000
3;1;3;1;0;0;0;1;2;0;0;8372;6090000
6;2;2;1;0;0;0;0;0;0;2;4300;6083000
3;1;1;1;0;1;0;0;2;1;2;9620;6083000
2;1;1;1;1;1;0;0;2;0;2;6800;6020000
3;1;1;1;1;1;0;1;2;1;1;8000;6020000
3;2;1;1;1;1;0;0;0;1;0;6900;6020000
4;1;2;1;1;0;0;1;0;0;2;3700;5950000
3;1;1;1;0;1;0;1;0;1;2;6420;5950000
3;1;1;1;0;1;0;1;2;1;1;7020;5950000
3;1;1;1;1;1;0;0;2;1;2;6540;5950000
3;1;2;1;1;1;0;1;0;1;1;7231;5950000
4;2;1;1;0;1;0;0;1;1;1;6254;5950000
4;2;2;1;0;0;0;0;0;0;2;7320;5950000
3;2;4;1;0;0;0;0;1;0;2;6525;5950000
3;1;1;1;0;0;0;1;2;0;1;15600;5943000
3;1;1;1;0;1;0;0;2;1;0;7160;5880000
3;2;3;1;0;0;0;1;0;0;0;6500;5880000
3;1;3;1;1;0;0;1;1;0;2;5500;5873000
3;1;3;1;0;0;0;0;2;1;1;11460;5873000
3;1;1;1;1;1;0;0;0;0;0;4800;5866000
4;1;4;1;1;0;0;0;0;0;1;5828;5810000
3;1;3;1;0;0;0;1;0;0;1;5200;5810000
3;1;3;1;0;0;0;1;0;0;0;4800;5810000
3;1;1;1;0;1;0;0;2;1;1;7000;5803000
3;2;4;1;0;0;0;1;0;0;0;6000;5775000
4;2;2;1;0;0;0;1;2;0;0;5400;5740000
4;1;2;1;0;0;0;0;1;0;1;4640;5740000
3;1;3;1;0;0;0;1;0;0;1;5000;5740000
3;1;1;1;1;1;0;1;2;1;2;6360;5740000
3;2;4;1;0;0;0;1;0;0;0;5800;5740000
4;2;2;1;1;1;0;0;1;1;1;6660;5652500
4;2;2;1;0;0;0;0;1;0;1;10500;5600000
5;2;3;0;0;1;1;0;0;0;0;4800;5600000
4;1;2;1;1;1;0;1;1;0;2;4700;5600000
3;1;4;1;0;0;0;0;0;0;2;5000;5600000
2;1;1;1;0;0;0;0;1;0;1;10500;5600000
3;2;2;1;0;0;0;0;1;0;1;5500;5600000
3;1;3;1;0;0;0;0;0;1;1;6360;5600000
4;2;1;1;0;1;0;0;0;1;1;6600;5600000
3;1;2;1;1;1;0;1;0;1;0;5136;5600000
4;1;2;1;0;0;0;1;2;1;1;4400;5565000
5;1;2;1;1;1;0;1;0;1;2;5400;5565000
3;3;2;1;0;1;0;0;0;0;1;3300;5530000
3;2;2;1;0;0;0;0;2;0;1;3650;5530000
3;2;1;1;0;1;0;0;2;1;2;6100;5530000
3;1;1;1;1;1;0;0;0;1;1;6900;5523000
4;2;2;0;1;1;0;0;1;0;2;2817;5495000
3;1;1;1;0;0;0;0;2;0;1;7980;5495000
3;2;1;1;1;1;0;1;0;0;2;3150;5460000
4;1;4;1;1;0;0;1;0;0;2;6210;5460000
3;1;3;1;1;0;0;1;0;1;1;6100;5460000
4;2;2;1;1;1;0;0;0;1;1;6600;5460000
3;1;1;1;1;1;0;1;0;1;1;6825;5425000
3;2;2;1;1;1;0;0;1;1;2;6710;5390000
3;2;1;1;1;1;1;0;0;0;0;6450;5383000
3;1;1;1;0;1;0;1;2;1;0;7800;5320000
2;2;1;1;0;0;0;1;2;0;1;4600;5285000
4;1;2;1;0;1;0;1;0;0;2;4260;5250000
4;2;2;0;0;0;0;1;0;0;1;6540;5250000
3;2;1;1;0;1;0;0;0;0;1;5500;5250000
3;1;1;1;0;0;0;0;1;1;1;10269;5250000
3;1;2;1;1;1;0;1;2;1;0;8400;5250000
4;2;1;1;0;0;0;1;0;1;0;5300;5250000
3;1;2;1;1;1;0;0;1;1;0;3800;5250000
4;2;2;1;1;0;0;0;2;0;1;9800;5250000
3;1;1;1;0;0;0;1;2;0;2;8520;5250000
3;1;1;1;0;1;0;0;0;1;1;6050;5243000
3;1;1;1;1;1;0;0;2;1;1;7085;5229000
3;2;2;1;0;0;0;0;2;0;1;3180;5215000
4;2;1;0;0;1;0;1;2;0;1;4500;5215000
3;1;2;1;1;1;0;0;1;1;2;7200;5215000
3;1;2;0;0;0;0;1;0;0;1;3410;5145000
3;1;1;1;0;0;0;0;1;1;1;7980;5145000
3;2;2;1;1;1;0;0;0;0;2;3000;5110000
3;1;2;1;0;1;0;0;0;0;0;3000;5110000
2;1;2;1;0;0;0;0;0;1;2;11410;5110000
3;1;1;1;0;1;0;1;0;1;1;6100;5110000
2;1;2;1;0;0;0;1;0;1;0;5720;5075000
2;1;1;0;1;1;0;0;0;0;1;3540;5040000
4;1;2;1;0;0;0;1;2;0;2;7600;5040000
3;1;2;1;1;1;0;0;0;0;1;10700;5040000
3;1;1;1;1;1;0;0;0;1;2;6600;5040000
2;1;1;1;1;1;0;0;0;0;1;4800;5033000
3;2;1;1;1;1;0;0;0;0;1;8150;5005000
4;3;2;1;0;1;0;0;2;0;1;4410;4970000
3;1;1;1;1;1;1;0;0;0;1;7686;4970000
3;2;2;0;0;1;0;1;1;0;1;2800;4956000
3;1;2;1;0;0;0;1;0;0;1;5948;4935000
3;1;2;1;0;0;0;0;1;0;2;4200;4907000
3;1;2;1;0;1;0;1;0;0;1;4520;4900000
3;1;2;0;1;1;0;1;0;0;1;4095;4900000
2;1;1;1;0;1;0;0;1;0;1;4120;4900000
4;1;2;1;0;0;0;0;0;0;1;5400;4900000
3;1;1;1;1;1;0;0;0;0;1;4770;4900000
3;1;1;1;0;0;0;1;2;0;1;6300;4900000
2;1;1;1;1;1;0;1;0;0;1;5800;4900000
3;1;2;1;0;1;0;1;0;0;1;3000;4900000
3;1;3;1;0;0;0;0;0;0;1;2970;4900000
3;1;1;1;0;0;0;0;0;0;0;6720;4900000
3;1;2;1;1;1;0;0;2;0;1;4646;4900000
3;1;1;1;0;0;0;0;2;0;2;12900;4900000
4;2;2;1;0;1;0;1;2;0;1;3420;4893000
4;2;1;1;0;1;0;0;0;0;1;4995;4893000
2;1;1;1;0;1;0;0;0;0;0;4350;4865000
3;1;3;1;0;0;0;0;0;0;0;4160;4830000
3;1;1;1;0;0;0;0;2;1;1;6040;4830000
3;1;2;1;0;0;0;1;2;1;2;6862;4830000
2;1;1;1;0;0;0;1;0;1;1;4815;4830000
3;1;2;1;0;1;0;0;0;0;0;7000;4795000
4;1;4;1;0;1;0;1;2;0;1;8100;4795000
4;2;2;1;0;0;0;0;0;0;1;3420;4767000
2;1;1;1;0;1;0;1;2;0;1;9166;4760000
3;1;2;1;0;1;0;1;1;0;2;6321;4760000
2;1;1;1;0;0;0;1;2;1;0;10240;4760000
2;1;1;1;0;0;0;1;3;0;1;6440;4753000
3;1;4;1;0;0;0;1;0;0;1;5170;4690000
2;1;1;1;0;1;0;1;1;0;2;6000;4690000
3;1;2;1;0;0;0;0;2;0;1;3630;4690000
4;2;2;1;1;1;0;0;1;0;1;9667;4690000
2;1;2;1;0;0;0;0;0;1;1;5400;4690000
3;1;1;1;0;0;0;0;0;1;1;4320;4690000
3;1;2;1;0;1;0;0;0;0;2;3745;4655000
3;1;1;1;1;1;0;1;0;0;0;4160;4620000
3;2;2;1;0;1;0;0;2;0;1;3880;4620000
3;1;2;1;1;0;0;1;1;0;1;5680;4620000
2;1;2;1;1;1;0;0;0;1;1;2870;4620000
3;1;2;1;0;1;0;0;0;0;1;5010;4620000
4;2;2;1;0;1;0;0;0;0;1;4510;4613000
3;1;2;1;0;0;0;0;1;0;2;4000;4585000
3;1;2;1;0;0;0;0;1;1;1;3840;4585000
3;1;1;1;0;0;0;0;2;0;1;3760;4550000
3;1;2;1;0;0;0;1;0;0;2;3640;4550000
3;1;2;1;0;1;0;0;0;0;2;2550;4550000
3;1;2;1;1;1;0;0;0;1;1;5320;4550000
3;1;2;1;0;0;0;0;2;1;0;5360;4550000
3;1;1;1;0;0;0;0;0;1;1;3520;4550000
4;1;4;1;0;0;0;0;3;0;0;8400;4550000
2;2;1;1;1;1;0;0;0;0;1;4100;4543000
4;2;2;1;1;1;0;0;0;1;2;4990;4543000
3;1;3;1;0;0;0;0;0;0;1;3510;4515000
3;1;2;1;0;1;0;0;1;0;1;3450;4515000
3;1;1;1;0;0;0;0;0;0;1;9860;4515000
2;1;2;1;0;0;0;0;0;1;2;3520;4515000
4;1;2;1;0;0;0;1;2;0;1;4510;4480000
2;1;1;1;0;0;0;1;1;0;0;5885;4480000
3;1;2;1;0;0;0;0;2;0;2;4000;4480000
3;1;1;1;0;0;0;0;0;0;2;8250;4480000
3;1;2;1;0;0;0;0;1;0;1;4040;4480000
2;1;1;1;0;1;0;1;1;0;2;6360;4473000
3;1;2;1;0;0;0;1;1;0;2;3162;4473000
3;1;2;1;0;0;0;0;0;0;1;3510;4473000
2;1;1;1;1;1;0;0;0;0;1;3750;4445000
3;1;2;0;0;0;0;0;0;0;1;3968;4410000
2;1;2;1;0;1;0;0;0;0;1;4900;4410000
3;1;2;1;0;0;0;0;0;1;1;2880;4403000
3;1;1;1;0;0;0;0;2;1;0;4880;4403000
3;1;2;1;0;0;0;0;1;0;1;4920;4403000
4;1;2;1;0;0;0;1;0;0;1;4950;4382000
3;1;2;1;0;0;0;0;0;0;0;3900;4375000
